NPROC,NINPUT,STRATEGIA,TEMPO
1,1000000,1,0.004638
1,1000000,2,0.004638
1,1000000,3,0.004638
1,10000000,1,0.042666
1,10000000,2,0.042666
1,10000000,3,0.042666
1,100000000,1,0.425746
1,100000000,2,0.425746
1,100000000,3,0.425746
1,200000000,1,0.854756
1,200000000,2,0.85285
1,200000000,3,0.853812
1,300000000,1,1.277398
1,300000000,2,1.2774
1,300000000,3,1.2774
1,400000000,1,1.71247
1,400000000,2,1.71247
1,400000000,3,1.71247
1,500000000,1,2.125981
1,500000000,2,2.12627
1,500000000,3,2.12627
8,10000,1,0.000304
8,100000,1,0.000274
8,100000,2,0.000404
8,100000,3,0.000345
8,1000000,1,0.000968
8,1000000,2,0.000851
8,1000000,3,0.000926
8,10000000,1,0.013887
8,10000000,2,0.014015
8,10000000,3,0.013665
8,100000000,1,0.131728
8,100000000,2,0.131543
8,100000000,3,0.131722
8,200000000,1,0.261734
8,200000000,2,0.257328
8,200000000,3,0.2618
8,300000000,1,0.391807
8,300000000,2,0.392125
8,300000000,3,0.391842
8,400000000,1,0.522268
8,400000000,2,0.521792
8,400000000,3,0.522422
8,500000000,1,0.652289
8,500000000,2,0.642987
8,500000000,3,0.652324
16,200000000,1,0.056473
16,200000000,2,0.056102
16,200000000,3,0.05639
32,100000000,1,0.019377
32,100000000,2,0.01813
32,200000000,1,0.034627
32,200000000,2,0.03973
32,200000000,3,0.0344
64,100000000,1,0.018231
64,200000000,1,0.034775
64,200000000,2,0.03457
