NPROC,NINPUT,STRATEGIA,TEMPO
1,1000000,1,0.004638
1,1000000,2,0.004638
1,1000000,3,0.004638
1,10000000,1,0.042666
1,10000000,2,0.042666
1,10000000,3,0.042666
1,100000000,1,0.425746
1,100000000,2,0.425746
1,100000000,3,0.425746
1,200000000,1,0.854756
1,200000000,2,0.85285
1,200000000,3,0.853812
1,300000000,1,1.277398
1,300000000,2,1.2774
1,300000000,3,1.2774
1,400000000,1,1.71247
1,400000000,2,1.71247
1,400000000,3,1.71247
1,500000000,1,2.125981
1,500000000,2,2.12627
1,500000000,3,2.12627
64,100000000,1,0.018231
64,200000000,1,0.034775
64,200000000,2,0.03457
