NPROC,NINPUT,STRATEGIA,TEMPO,SPEEDUP,EFFICIENZA
1,1000000,1,0.004638,1.0,1.0
1,1000000,2,0.004638,1.0,1.0
1,1000000,3,0.004638,1.0,1.0
1,10000000,1,0.0426661666666666,1.0,1.0
1,10000000,2,0.0426661666666666,1.0,1.0
1,10000000,3,0.0426661666666666,1.0,1.0
1,100000000,1,0.425746,1.0,1.0
1,100000000,2,0.425746,1.0,1.0
1,100000000,3,0.425746,1.0,1.0
1,200000000,1,0.8547564,1.0,1.0
1,200000000,2,0.85285,1.0,1.0
1,200000000,3,0.853812,1.0,1.0
1,300000000,1,1.2773983333333334,1.0,1.0
1,300000000,2,1.2774,1.0,1.0
1,300000000,3,1.2774,1.0,1.0
1,400000000,1,1.7124697999999998,1.0,1.0
1,400000000,2,1.7124697999999998,1.0,1.0
1,400000000,3,1.7124697999999998,1.0,1.0
1,500000000,1,2.125981,1.0,1.0
1,500000000,2,2.1262695000000003,1.0,1.0
1,500000000,3,2.1262695000000003,1.0,1.0
4,10000000,3,0.014598,2.9227405580673107,0.7306851395168277
4,200000000,3,0.268175,3.183786706441689,0.7959466766104223
4,400000000,2,0.535486,3.1979730562517035,0.7994932640629259
6,12,1,0.000311,,
8,1000,2,0.000224,,
8,10000,1,0.0002776666666666,,
8,100000,1,0.0002736666666666,,
8,100000,2,0.00040425,,
8,100000,3,0.0003446666666666,,
8,1000000,1,0.0009675,4.793798449612402,0.5992248062015503
8,1000000,2,0.00085075,5.451660299735527,0.6814575374669408
8,1000000,3,0.00092575,5.009991898460707,0.6262489873075884
8,10000000,1,0.013887,3.0723818439307697,0.3840477304913462
8,10000000,2,0.0140152,3.0442781170919146,0.38053476463648933
8,10000000,3,0.0136648,3.122341100247834,0.39029263753097926
8,100000000,1,0.13172825,3.2320022470502723,0.40400028088128404
8,100000000,2,0.1315433333333333,3.2365456250158386,0.40456820312697983
8,100000000,3,0.131722,3.232155600431211,0.4040194500539014
8,200000000,1,0.261733875,3.265746170609364,0.4082182713261705
8,200000000,2,0.258106,3.3042625897886913,0.4130328237235864
8,200000000,3,0.2617997142857143,3.2613175393621514,0.4076646924202689
8,300000000,1,0.39180725,3.260272323529831,0.4075340404412289
8,300000000,2,0.3921253333333334,3.2576319136058536,0.4072039892007317
8,300000000,3,0.391842,3.2599874439187224,0.4074984304898403
8,400000000,1,0.522268,3.2789100615009916,0.40986375768762395
8,400000000,2,0.52179175,3.2819027897623907,0.41023784872029884
8,400000000,3,0.5224215,3.277946638873017,0.40974332985912715
8,500000000,1,0.65228925,3.2592611330019614,0.4074076416252452
8,500000000,2,0.6429874999999999,3.3068597756566036,0.41335747195707545
8,500000000,3,0.652324,3.2595297735481146,0.4074412216935143
16,1000,2,0.0005365,,
16,200000000,1,0.056473,15.135664830981176,0.9459790519363235
16,200000000,2,0.0561025,15.201639855621407,0.9501024909763379
16,200000000,3,0.05639,15.141195247384287,0.9463247029615179
32,100000000,1,0.019377,21.971719048356302,0.6866162202611344
32,100000000,2,0.0181305,23.48230881663495,0.7338221505198422
32,200000000,1,0.0346265,24.685036027320116,0.7714073758537536
32,200000000,2,0.0397299999999999,21.466146488799453,0.6708170777749829
32,200000000,3,0.0343995,24.82047704181747,0.7756399075567959
48,200000000,1,0.037246,22.948944853138592,0.47810301777372066
64,100000000,1,0.018231,23.35286051231419,0.36488844550490923
64,200000000,1,0.0347746666666666,24.579858901115802,0.3840602953299344
64,200000000,2,0.034541,24.69094699053299,0.38579604672707796
64,200000000,3,0.034598,24.678073877102726,0.3855949043297301
