NPROC,NINPUT,STRATEGIA,TEMPO
1,1000000,1,0.004638
1,1000000,2,0.004638
1,1000000,3,0.004638
1,10000000,1,0.04266616666666667
1,10000000,2,0.04266616666666667
1,10000000,3,0.04266616666666667
1,100000000,1,0.425746
1,100000000,2,0.425746
1,100000000,3,0.425746
1,200000000,1,0.8547564
1,200000000,2,0.85285
1,200000000,3,0.853812
1,300000000,1,1.2773983333333334
1,300000000,2,1.2774
1,300000000,3,1.2774
1,400000000,1,1.7124697999999998
1,400000000,2,1.7124697999999998
1,400000000,3,1.7124697999999998
1,500000000,1,2.125981
1,500000000,2,2.1262695000000003
1,500000000,3,2.1262695000000003
4,10000000,3,0.014598
4,200000000,3,0.268175
4,400000000,2,0.535486
6,12,1,0.000311
8,1000,2,0.000224
8,10000,1,0.0002776666666666667
8,100000,1,0.00027366666666666663
8,100000,2,0.00040425
8,100000,3,0.0003446666666666667
8,1000000,1,0.0009675
8,1000000,2,0.00085075
8,1000000,3,0.00092575
8,10000000,1,0.013887
8,10000000,2,0.0140152
8,10000000,3,0.0136648
8,100000000,1,0.13172825
8,100000000,2,0.13154333333333335
8,100000000,3,0.131722
8,200000000,1,0.261733875
8,200000000,2,0.258106
8,200000000,3,0.2617997142857143
8,300000000,1,0.39180725
8,300000000,2,0.3921253333333334
8,300000000,3,0.391842
8,400000000,1,0.522268
8,400000000,2,0.52179175
8,400000000,3,0.5224215
8,500000000,1,0.65228925
8,500000000,2,0.6429874999999999
8,500000000,3,0.652324
16,1000,2,0.0005365
16,200000000,1,0.056473
16,200000000,2,0.0561025
16,200000000,3,0.05639
32,100000000,1,0.019377
32,100000000,2,0.0181305
32,200000000,1,0.034626500000000004
32,200000000,2,0.039729999999999994
32,200000000,3,0.0343995
64,100000000,1,0.018231
64,200000000,1,0.03477466666666667
64,200000000,2,0.0345695
